Index,Year,H0,eH0,ObsType,Reference
575,2014,68.5,3.5,LCDM,"Verde et al., 2014, PDU, 5, 307."
576,2014,74.1,2.2,LCDM,"Lima and Cunha, 2014, ApJL, 781, L38."
577,2015,68.8,3.3,IND,"Rigault et al., 2015, ApJ, 802, 20."
578,2015,69.8,3.9,IND,"Jang and Lee, 2015, ApJ, 807, 133."
579,2015,70.6,2.6,IND,"Rigault et al., 2015, ApJ, 802, 20."
580,2015,68.11,0.86,LCDM,"Cheng and Huang, 2015, SCPMA, 58, 5684."
581,2015,73.9,10.05,LCDM,"Wei et al., 2015, MNRAS, 447, 479."
582,2015,94.3,34.25,LCDM,"Wei et al., 2015, AJ, 150, 35."
583,2016,71.9,2.7,IND,"Bonvin et al. 2017, MNRAS, 465, 4914."
584,2016,73.24,1.74,IND,"Riess et al. 2016, ApJ, 826, 56."
585,2016,73.75,2.11,IND,"Cardona et al., 2017, JCAP, 2017, 056."
586,2016,64,12.5,LCDM,"Veropalumbo et al., 2016, MNRAS, 458, 1909."
587,2016,67.8,0.9,LCDM,"Planck Collaboration et al., 2016, A&A, 594, A13."
588,2016,70.1,0.34,LCDM,"Ichiki et al., 2016, PhRvD, 93, 023529."
589,2017,66.83,2.21,IND,"Wu et al., 2017, Frontiers of Physics, 12, 129801."
590,2017,67.38,4.72,IND,"Wang and Meng, 2017, SCPMA, 60, 110411."
591,2017,68.3,2.65,IND,"Chen et al., 2017, ApJ, 835, 86."
592,2017,69.13,0.24,IND,"Huang and Huang, 2017, IJMPD, 26, 1750129."
593,2017,69.3,4.2,IND,"Braatz et al., 2018, IAUS, 336, 86."
594,2017,70,10,IND,"Abbott et al., 2017, Nature, 551, 85."
595,2017,71.17,3.53,IND,"Jang and Lee, 2017, ApJ, 836, 74."
596,2017,72.5,3.87,IND,"Zhang et al., 2017, MNRAS, 471, 2254."
597,2017,73.1,5.85,IND,"Wong et al., 2017, MNRAS, 465, 4896."
598,2017,66.4,4.75,LCDM,"Melnick et al., 2017, A&A, 599, A76."
599,2017,67.6,0.5,LCDM,"Alam et al., 2017, MNRAS, 470, 2617."
600,2017,67.6,7.6,LCDM,"Cao et al., 2017, A&A, 606, A15."
601,2017,67.87,0.46,LCDM,"Chavanis and Kumar, 2017, JCAP, 2017, 018."
602,2017,69.13,2.34,LCDM,"Wang et al., 2017, ApJ, 849, 84."
603,2017,70.1,0.8,LCDM,"Wang and Meng, 2017, PDU, 18, 30."
604,2017,71.75,3.04,LCDM,"Wang et al., 2017, ApJ, 849, 84."
605,2017,74.6,2.1,LCDM,"Wang and Meng, 2017, PDU, 18, 30."
606,2018,71,4.9,IND,"Fernández Arenas et al., 2018, MNRAS, 474, 1250."
607,2018,71.9,7.1,IND,"Cantiello et al., 2018, ApJL, 854, L31."
608,2018,72.7,2.1,IND,"Burns et al., 2018, ApJ, 869, 56."
609,2018,72.8,4.3,IND,"Dhawan et al., 2018, A&A, 609, A72."
610,2018,73.15,1.78,IND,"Feeney et al., 2018, MNRAS, 476, 3861."
611,2018,73.2,2.3,IND,"Burns et al., 2018, ApJ, 869, 56."
612,2018,73.3,1.7,IND,"Follin and Knox, 2018, MNRAS, 477, 4534."
613,2018,73.48,1.66,IND,"Riess et al., 2018, ApJ, 855, 136."
614,2018,64,10,LCDM,"Vega-Ferrero et al., 2018, ApJL, 853, L31."
615,2018,66.98,1.18,LCDM,"Addison et al., 2018, ApJ, 853, 119."
616,2018,68,2.2,LCDM,"da Silva and Cavalcanti, 2018, BrJPh, 48, 521."
617,2018,69.4,0.6,LCDM,"Burenin, 2018, AstL, 44, 653."
618,2018,72.8,4.2,LCDM,"Grillo et al., 2018, ApJ, 860, 94."
619,2018,73.5,4.65,LCDM,"Grillo et al., 2018, ApJ, 860, 94."
620,2019,69.8,2.5,IND,"Freedman et al., 2019, ApJ, 882, 34."
621,2019,70.3,5.15,IND,"Hotokezaka et al., 2019, NatAs, 3, 940."
622,2019,71.1,1.9,IND,"Reid et al., 2019, ApJL, 886, L27."
623,2019,72.2,2.1,IND,"Liao et al., 2019, ApJL, 886, L23."
624,2019,72.4,2,IND,"Yuan et al., 2019, ApJ, 886, 61."
625,2019,73.5,1.4,IND,"Reid et al., 2019, ApJL, 886, L27."
626,2019,74.03,1.42,IND,"Riess et al., 2019, ApJ, 876, 85."
627,2019,76,16,IND,"Fishbach et al., 2019, ApJL, 871, L13."
628,2019,77,27.5,IND,"Fishbach et al., 2019, ApJL, 871, L13."
629,2019,78,60,IND,"Soares-Santos et al., 2019, ApJL, 876, L7."
630,2019,64.9,4.45,LCDM,"Zeng and Yan, 2019, ApJ, 882, 87."
